,Transported,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_True,VIP_True
0,0,39.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
1,1,24.0,109.0,9.0,25.0,549.0,44.0,0,0,0,1,0,0
2,0,58.0,43.0,3576.0,0.0,6715.0,49.0,1,0,0,1,0,1
3,0,33.0,0.0,1283.0,371.0,3329.0,193.0,1,0,0,1,0,0
4,1,16.0,303.0,70.0,151.0,565.0,2.0,0,0,0,1,0,0
5,1,44.0,0.0,483.0,0.0,291.0,0.0,0,0,1,0,0,0
6,1,26.0,42.0,1539.0,3.0,0.0,0.0,0,0,0,1,0,0
7,1,28.0,0.0,0.0,0.0,0.0,304.8547912992357,0,0,0,1,1,0
8,1,35.0,0.0,785.0,17.0,216.0,0.0,0,0,0,1,0,0
9,1,14.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
10,1,34.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,1,0
11,1,45.0,39.0,7295.0,589.0,110.0,124.0,1,0,0,0,0,0
12,1,32.0,73.0,0.0,1123.0,0.0,113.0,0,1,0,1,0,0
13,0,48.0,719.0,1.0,65.0,0.0,24.0,0,0,0,1,0,0
14,1,28.0,8.0,974.0,12.0,2.0,7.0,0,0,0,1,0,0
15,0,31.0,32.0,0.0,876.0,0.0,0.0,0,0,0,1,0,0
16,0,27.0,1286.0,122.0,173.72916912197996,0.0,0.0,0,1,0,0,0,0
17,0,24.0,0.0,1.0,0.0,0.0,637.0,0,0,0,0,0,0
18,1,45.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0
19,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
20,0,14.0,412.0,0.0,1.0,0.0,679.0,0,0,0,0,0,0
21,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
22,0,49.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
23,0,29.0,0.0,0.0,173.72916912197996,0.0,0.0,0,0,0,0,1,0
24,1,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
25,0,1.0,224.687617481203,0.0,0.0,0.0,0.0,0,0,1,0,1,0
26,0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
27,0,21.0,980.0,2.0,69.0,0.0,0.0,0,1,0,1,0,0
28,1,62.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,1,0
29,0,15.0,0.0,225.0,0.0,998.0,0.0,0,0,0,1,0,0
30,0,34.0,22.0,6073.0,0.0,1438.0,328.0,1,0,0,0,0,0
31,0,43.0,1125.0,0.0,136.0,48.0,0.0,0,1,0,1,0,0
32,0,32.0,0.0,850.0,81.0,437.0,453.0,0,0,0,1,0,0
33,1,47.0,214.0,0.0,1411.0,0.0,1229.0,0,1,0,1,0,0
34,1,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
35,1,20.0,224.687617481203,0.0,1750.0,990.0,0.0,0,1,0,1,0,0
36,1,28.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
37,0,23.0,784.0,964.0,0.0,951.0,0.0,0,1,0,0,0,0
38,0,15.0,0.0,492.0,48.0,20.0,401.0,0,0,0,0,0,1
39,0,20.0,554.0,195.0,0.0,2606.0,0.0,0,0,0,0,0,0
40,0,30.0,0.0,0.0,173.72916912197996,0.0,0.0,0,0,0,0,1,0
41,1,17.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
42,0,45.0,0.0,164.0,45.0,2511.0,855.0,1,0,0,1,0,0
43,0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
44,1,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
45,1,21.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
46,0,21.0,970.0,0.0,180.0,0.0,64.0,0,1,0,1,0,0
47,1,19.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0
48,0,35.0,790.0,0.0,0.0,311.1387779083431,0.0,0,0,0,0,0,0
49,0,56.0,0.0,112.0,0.0,1379.0,127.0,0,0,0,1,0,0
50,0,28.82793046746535,4.0,0.0,2.0,4683.0,0.0,0,0,0,1,0,0
51,1,25.0,0.0,0.0,1938.0,0.0,1.0,0,0,0,1,0,0
52,1,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
53,1,38.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0
54,1,27.0,279.0,605.0,3374.0,286.0,3.0,1,0,0,1,0,0
55,0,36.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
56,0,22.0,45.0,1096.0,148.0,1377.0,1.0,0,0,0,1,0,0
57,0,62.0,0.0,592.0,0.0,17.0,25.0,0,0,0,1,0,0
58,1,15.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0
59,1,33.0,0.0,0.0,173.72916912197996,0.0,0.0,0,1,0,1,1,0
60,0,62.0,1.0,153.0,197.0,0.0,460.0,0,0,0,1,0,0
61,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
62,1,18.0,1.0,258.0,446.0,0.0,0.0,0,0,0,1,0,0
63,0,21.0,1946.0,37.0,0.0,0.0,24.0,0,0,0,0,0,0
64,0,28.82793046746535,793.0,0.0,2.0,253.0,0.0,0,1,0,1,0,0
65,1,42.0,887.0,0.0,9.0,6.0,0.0,0,0,0,1,0,0
66,0,19.0,190.0,0.0,5.0,1.0,726.0,0,0,0,1,0,0
67,0,17.0,16.0,2165.0,0.0,0.0,52.0,0,0,0,1,0,0
68,0,14.0,0.0,1.0,0.0,0.0,1063.0,0,0,0,1,0,0
69,0,37.0,46.0,83.0,738.0,0.0,12.0,0,1,1,0,0,0
70,1,42.0,1.0,8397.0,0.0,0.0,506.0,1,0,0,1,0,0
71,1,27.0,147.0,0.0,1018.0,0.0,0.0,0,1,0,1,0,0
72,1,28.0,14.0,0.0,1295.0,0.0,0.0,0,1,0,1,0,0
73,0,38.0,0.0,5840.0,0.0,321.0,9654.0,1,0,0,1,0,0
74,0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
75,0,42.0,7406.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
76,1,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0
77,1,8.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
78,1,24.0,688.0,0.0,0.0,0.0,17.0,0,0,0,1,0,0
79,1,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0
80,0,43.0,211.0,0.0,0.0,638.0,513.0,0,0,0,1,0,0
81,1,45.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0
82,1,35.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
83,1,26.0,224.687617481203,0.0,0.0,0.0,0.0,0,0,0,1,1,0
84,0,27.0,1.0,697.0,31.0,188.0,0.0,0,0,0,1,0,0
85,0,19.0,0.0,0.0,670.0,1.0,34.0,0,0,0,1,0,0
86,1,0.0,0.0,0.0,173.72916912197996,0.0,0.0,0,0,0,1,1,0
87,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
88,0,54.0,0.0,1208.0,0.0,3.0,637.0,1,0,0,1,0,0
89,0,26.0,0.0,856.0,5.0,32.0,0.0,0,0,0,1,0,0
90,1,26.0,0.0,2811.0,957.0,0.0,87.0,0,0,0,1,0,0
91,0,23.0,311.0,427.0,526.0,37.0,0.0,0,0,1,0,0,0
92,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
93,1,31.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0
94,0,18.0,0.0,0.0,0.0,830.0,91.0,0,0,0,1,0,0
95,1,24.0,0.0,458.07720329024676,0.0,0.0,17.0,0,0,0,1,0,0
96,1,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
97,0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
98,0,27.0,0.0,0.0,570.0,2.0,131.0,0,0,0,1,1,0
99,0,21.0,1743.0,5.0,17.0,0.0,0.0,0,1,0,1,0,0
100,0,23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
101,0,31.0,562.0,0.0,326.0,0.0,0.0,0,0,0,1,0,0
102,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
103,0,32.0,0.0,410.0,6.0,3929.0,764.0,1,0,0,1,0,0
104,0,40.0,0.0,331.0,0.0,0.0,1687.0,1,0,0,1,1,0
105,1,42.0,2209.0,11418.0,0.0,1868.0,445.0,1,0,0,1,0,0
106,1,28.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0
107,1,29.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0
108,1,48.0,0.0,2537.0,87.0,17.0,13.0,1,0,0,0,0,1
