,Transported,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_True,VIP_True,Expense_scaled,Expense_encoded,Age_scaled,Group_id,Member_id,Name_Length,Group_members,Deck_fact,Cabin_side_fact,Cabin_Num
0,0,1,0,0,1,0,0,-0.7324603324412468,0.0,0.7116869516311042,1,1,15,1,1,0,0
1,1,0,0,0,1,0,0,-0.2850812857769181,1.0,-0.33676556645110256,2,1,12,1,5,1,0
2,0,1,0,0,1,0,1,2.831375741733969,1.0,2.039726807868566,3,1,13,2,0,1,0
3,0,1,0,0,1,0,0,2.4137814413828904,1.0,0.29230594439822144,3,2,12,2,0,1,0
4,1,0,0,0,1,0,0,-0.06929383799724875,1.0,-0.8959402427616128,4,1,17,1,5,1,1
5,1,0,0,1,0,0,0,-0.2619829110850099,1.0,1.0611711243251731,5,1,17,1,5,0,0
6,1,0,0,0,1,0,0,0.23037718103198224,1.0,-0.196971897373475,6,1,18,2,5,1,2
7,1,0,0,0,1,1,0,-0.5471537483345824,1.0,-0.057178228295847434,6,2,18,2,6,1,0
8,1,0,0,0,1,0,0,-0.1136670314843357,1.0,0.432099613475849,7,1,13,1,5,1,3
9,1,1,0,0,0,1,0,-0.7324603324412468,0.0,-1.0357339118392404,8,1,14,3,1,0,1
10,1,1,0,0,1,1,0,-0.6268587155124732,1.0,0.36220277893703523,8,2,14,3,1,0,1
11,1,1,0,0,0,0,0,2.831375741733969,1.0,1.131067958863987,8,3,13,3,1,0,1
12,1,0,1,0,1,0,0,0.06321789049843554,1.0,0.22240910985940768,9,1,12,1,5,0,1
13,0,0,0,0,1,0,0,-0.24070809228983117,1.0,1.3407584624804283,10,1,14,1,6,1,1
14,1,0,0,0,1,0,0,-0.1227848109679837,1.0,-0.057178228295847434,11,1,15,1,5,0,2
15,0,0,0,0,1,0,0,-0.18053074769775437,1.0,0.15251227532059392,12,1,13,1,4,1,608
16,0,0,1,0,0,0,0,0.2289968520192859,1.0,-0.12707506283466122,14,1,11,1,5,0,3
17,0,0,0,0,0,0,0,-0.3446507784034184,1.0,-0.33676556645110256,15,1,15,1,5,0,4
18,1,0,1,0,1,1,0,-0.7324603324412468,0.0,1.131067958863987,16,1,10,1,5,0,5
19,1,0,0,0,1,0,0,-0.7324603324412468,0.0,-2.014289595382633,17,1,13,2,6,0,0
20,0,0,0,0,0,0,0,-0.06868598603167222,1.0,-1.0357339118392404,17,2,15,2,5,0,6
21,0,0,0,0,1,1,0,-0.7324603324412468,0.0,-1.9443927608438196,20,1,17,6,4,1,0
22,0,0,0,0,0,1,0,-0.7324603324412468,0.0,1.4106552970192419,20,2,17,6,4,1,0
23,0,0,0,0,0,1,0,-0.6268587155124732,1.0,0.012718606242966344,20,3,18,6,4,1,0
24,1,0,0,0,1,0,0,-0.7324603324412468,0.0,-1.3153212499944955,20,4,18,6,4,1,0
25,0,0,0,1,0,1,0,-0.5958835225145892,1.0,-1.9443927608438196,20,5,15,6,4,1,0
26,0,0,0,0,1,0,0,-0.7324603324412468,0.0,-1.5250117536109369,20,6,17,6,4,1,0
27,0,0,1,0,1,0,0,-0.0936079166203101,1.0,-0.5464560700675439,22,1,16,1,3,0,0
28,1,1,0,0,1,1,0,-0.6268587155124732,1.0,2.319314146023821,24,1,15,1,2,1,2
29,0,0,0,0,1,0,0,0.01094262145885366,1.0,-0.9658370773004266,25,1,17,1,5,1,6
30,0,1,0,0,0,0,0,2.831375741733969,1.0,0.36220277893703523,26,1,15,1,2,0,0
31,0,0,1,0,1,0,0,0.06321789049843554,1.0,0.9912742897863592,28,1,10,1,5,0,8
32,0,0,0,0,1,0,0,0.3744380968736207,1.0,0.22240910985940768,30,1,16,1,6,1,4
33,1,0,1,0,1,0,0,1.0023491773141797,1.0,1.2708616279416145,31,1,12,3,5,0,9
34,1,0,1,0,1,0,0,-0.7324603324412468,0.0,-1.8744959263050058,31,2,12,3,5,0,9
35,1,0,1,0,1,0,0,1.0696308631651126,1.0,-0.6163529046063577,31,3,12,3,5,0,9
36,1,1,0,0,0,1,0,-0.7324603324412468,0.0,-0.057178228295847434,34,1,15,1,3,1,1
37,0,0,1,0,0,0,0,0.908132122649817,1.0,-0.40666240098991635,35,1,10,1,3,0,1
38,0,0,0,0,0,0,1,-0.14831459352219808,1.0,-0.9658370773004266,36,1,14,1,5,1,8
39,0,0,0,0,0,0,0,1.306883012068023,1.0,-0.6163529046063577,38,1,13,1,5,1,10
40,0,0,0,0,0,1,0,-0.6268587155124732,1.0,0.08261544078178013,39,1,17,1,6,0,1
41,1,0,0,0,1,1,0,-0.7324603324412468,0.0,-0.826043408222799,41,1,14,1,6,0,2
42,0,1,0,0,1,0,0,1.4406104444948602,1.0,1.131067958863987,43,1,18,1,1,0,3
43,0,0,0,0,1,1,0,-0.7324603324412468,0.0,1.8300363042521246,44,1,17,3,6,0,3
44,1,0,0,0,0,1,0,-0.7324603324412468,0.0,-1.7347022572273783,44,2,17,3,6,0,3
45,1,0,0,1,0,1,0,-0.7324603324412468,0.0,-0.5464560700675439,44,3,17,3,6,0,3
46,0,0,1,0,1,0,0,0.005471953768664859,1.0,-0.5464560700675439,45,1,12,2,5,0,10
47,1,0,1,0,0,1,0,-0.7324603324412468,0.0,-0.6862497391451715,45,2,10,2,5,0,10
48,0,0,0,0,0,0,0,-0.06313096191711842,1.0,0.432099613475849,50,1,11,1,4,1,1
49,0,0,0,0,1,0,0,0.25104414786158435,1.0,1.8999331387909384,51,1,16,1,4,1,2
50,0,0,0,0,1,0,0,2.1177575341471186,1.0,0.0006914905982208967,52,1,16,1,6,1,6
51,1,0,0,0,1,0,0,0.4461646288116516,1.0,-0.26686873191228877,53,1,15,1,5,1,11
52,1,1,0,0,1,0,0,-0.7324603324412468,0.0,-1.8744959263050058,56,1,15,3,0,1,1
53,1,1,0,0,1,1,0,-0.7324603324412468,0.0,0.6417901170922904,56,2,15,3,0,1,1
54,1,1,0,0,1,0,0,2.031442555035251,1.0,-0.12707506283466122,56,3,16,3,0,1,1
55,0,0,0,1,0,1,0,-0.7324603324412468,0.0,0.5019964480146628,58,1,16,1,6,1,7
56,0,0,0,0,1,0,0,0.8886808597513679,1.0,-0.47655923552873014,61,1,12,1,5,1,12
57,0,0,0,0,1,0,0,-0.3470821862657245,1.0,2.319314146023821,62,1,14,1,5,1,13
58,1,0,1,0,1,1,0,-0.7324603324412468,0.0,-0.9658370773004266,64,1,16,2,5,1,14
59,1,0,1,0,1,1,0,-0.6268587155124732,1.0,0.29230594439822144,64,2,11,2,4,1,3
60,0,0,0,0,1,0,0,-0.23949238835867812,1.0,2.319314146023821,66,1,16,1,6,0,6
61,1,0,0,1,0,1,0,-0.7324603324412468,0.0,-2.014289595382633,67,1,13,3,6,1,10
62,1,0,0,0,1,0,0,-0.30392469670979066,1.0,-0.7561465736839853,67,2,13,3,6,1,10
63,0,0,0,0,0,0,0,0.4874985624708559,1.0,-0.5464560700675439,67,3,13,3,5,1,15
64,0,0,1,0,1,0,0,-0.09543147251703969,1.0,0.0006914905982208967,68,1,11,1,4,1,4
65,1,0,0,0,1,0,0,-0.18417785949121357,1.0,0.9213774552475456,69,1,16,1,5,1,16
66,0,0,0,0,1,0,0,-0.1720208201796829,1.0,-0.6862497391451715,70,1,15,1,5,0,13
67,0,0,0,0,1,0,0,0.6248731066911525,1.0,-0.826043408222799,71,1,14,1,5,0,14
68,0,0,0,0,1,0,0,-0.08570584106781516,1.0,-1.0357339118392404,72,1,16,1,5,1,17
69,0,0,1,1,0,0,0,-0.19815845469947385,1.0,0.5718932825534766,73,1,9,1,3,0,3
70,1,1,0,0,1,0,0,2.831375741733969,1.0,0.9213774552475456,74,1,16,1,2,1,3
71,1,0,1,0,1,0,0,-0.02431279254458528,1.0,-0.12707506283466122,76,1,8,1,5,1,18
72,1,0,1,0,1,0,0,0.06321789049843554,1.0,-0.057178228295847434,77,1,9,1,5,0,15
73,0,1,0,0,1,0,0,2.831375741733969,1.0,0.6417901170922904,78,1,15,1,2,1,4
74,0,0,0,0,1,1,0,-0.7324603324412468,0.0,-1.1056307463780541,81,1,16,1,6,1,13
75,0,0,1,0,1,0,0,2.831375741733969,1.0,0.9213774552475456,82,1,11,3,5,0,16
76,1,0,1,0,1,1,0,-0.7324603324412468,0.0,-1.8744959263050058,82,2,12,3,5,0,16
77,1,0,1,0,1,0,0,-0.7324603324412468,0.0,-1.455114919072123,82,3,16,3,5,0,16
78,1,0,0,0,1,0,0,-0.30392469670979066,1.0,-0.33676556645110256,84,1,17,1,6,1,14
79,1,1,0,0,1,1,0,-0.7324603324412468,0.0,0.781583786169918,85,1,18,1,2,1,5
80,0,0,0,0,1,0,0,0.0954340446739918,1.0,0.9912742897863592,86,1,12,1,5,0,17
81,1,0,1,1,0,1,0,-0.7324603324412468,0.0,1.131067958863987,88,1,12,1,4,1,5
82,1,0,0,0,1,1,0,-0.7324603324412468,0.0,0.432099613475849,90,1,13,1,6,1,15
