,Transported,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,Destination,CryoSleep,VIP
0,False,39.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,False,False
1,True,24.0,109.0,9.0,25.0,549.0,44.0,Earth,TRAPPIST-1e,False,False
2,False,58.0,43.0,3576.0,0.0,6715.0,49.0,Europa,TRAPPIST-1e,False,True
3,False,33.0,0.0,1283.0,371.0,3329.0,193.0,Europa,TRAPPIST-1e,False,False
4,True,16.0,303.0,70.0,151.0,565.0,2.0,Earth,TRAPPIST-1e,False,False
5,True,44.0,0.0,483.0,0.0,291.0,0.0,Earth,PSO J318.5-22,False,False
6,True,26.0,42.0,1539.0,3.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
7,True,28.0,0.0,0.0,0.0,0.0,304.8547912992357,Earth,TRAPPIST-1e,True,False
8,True,35.0,0.0,785.0,17.0,216.0,0.0,Earth,TRAPPIST-1e,False,False
9,True,14.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,True,False
10,True,34.0,0.0,0.0,173.72916912197996,0.0,0.0,Europa,TRAPPIST-1e,True,False
11,True,45.0,39.0,7295.0,589.0,110.0,124.0,Europa,55 Cancri e,False,False
12,True,32.0,73.0,0.0,1123.0,0.0,113.0,Mars,TRAPPIST-1e,False,False
13,False,48.0,719.0,1.0,65.0,0.0,24.0,Earth,TRAPPIST-1e,False,False
14,True,28.0,8.0,974.0,12.0,2.0,7.0,Earth,TRAPPIST-1e,False,False
15,False,31.0,32.0,0.0,876.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
16,False,27.0,1286.0,122.0,173.72916912197996,0.0,0.0,Mars,55 Cancri e,False,False
17,False,24.0,0.0,1.0,0.0,0.0,637.0,Earth,55 Cancri e,False,False
18,True,45.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,True,False
19,True,0.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
20,False,14.0,412.0,0.0,1.0,0.0,679.0,Earth,55 Cancri e,False,False
21,False,1.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,True,False
22,False,49.0,0.0,0.0,0.0,0.0,0.0,Earth,55 Cancri e,True,False
23,False,29.0,0.0,0.0,173.72916912197996,0.0,0.0,Earth,55 Cancri e,True,False
24,True,10.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
25,False,1.0,224.687617481203,0.0,0.0,0.0,0.0,Earth,PSO J318.5-22,True,False
26,False,7.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,False
27,False,21.0,980.0,2.0,69.0,0.0,0.0,Mars,TRAPPIST-1e,False,False
28,True,62.0,0.0,0.0,173.72916912197996,0.0,0.0,Europa,TRAPPIST-1e,True,False
29,False,15.0,0.0,225.0,0.0,998.0,0.0,Earth,TRAPPIST-1e,False,False
30,False,34.0,22.0,6073.0,0.0,1438.0,328.0,Europa,55 Cancri e,False,False
31,False,43.0,1125.0,0.0,136.0,48.0,0.0,Mars,TRAPPIST-1e,False,False
32,False,32.0,0.0,850.0,81.0,437.0,453.0,Earth,TRAPPIST-1e,False,False
33,True,47.0,214.0,0.0,1411.0,0.0,1229.0,Mars,TRAPPIST-1e,False,False
