,Transported,Age,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_True,VIP_True,Expense
0,0,39.0,1,0,0,1,0,0,0.0
1,1,24.0,0,0,0,1,0,0,1.0
2,0,58.0,1,0,0,1,0,1,1.0
3,0,33.0,1,0,0,1,0,0,1.0
4,1,16.0,0,0,0,1,0,0,1.0
5,1,44.0,0,0,1,0,0,0,1.0
6,1,26.0,0,0,0,1,0,0,1.0
7,1,28.0,0,0,0,1,1,0,1.0
8,1,35.0,0,0,0,1,0,0,1.0
9,1,14.0,1,0,0,0,1,0,0.0
10,1,34.0,1,0,0,1,1,0,1.0
11,1,45.0,1,0,0,0,0,0,1.0
12,1,32.0,0,1,0,1,0,0,1.0
13,0,48.0,0,0,0,1,0,0,1.0
14,1,28.0,0,0,0,1,0,0,1.0
15,0,31.0,0,0,0,1,0,0,1.0
16,0,27.0,0,1,0,0,0,0,1.0
17,0,24.0,0,0,0,0,0,0,1.0
18,1,45.0,0,1,0,1,1,0,0.0
19,1,0.0,0,0,0,1,0,0,0.0
20,0,14.0,0,0,0,0,0,0,1.0
21,0,1.0,0,0,0,1,1,0,0.0
22,0,49.0,0,0,0,0,1,0,0.0
23,0,29.0,0,0,0,0,1,0,1.0
24,1,10.0,0,0,0,1,0,0,0.0
25,0,1.0,0,0,1,0,1,0,1.0
26,0,7.0,0,0,0,1,0,0,0.0
27,0,21.0,0,1,0,1,0,0,1.0
28,1,62.0,1,0,0,1,1,0,1.0
29,0,15.0,0,0,0,1,0,0,1.0
30,0,34.0,1,0,0,0,0,0,1.0
31,0,43.0,0,1,0,1,0,0,1.0
32,0,32.0,0,0,0,1,0,0,1.0
33,1,47.0,0,1,0,1,0,0,1.0
34,1,2.0,0,1,0,1,0,0,0.0
35,1,20.0,0,1,0,1,0,0,1.0
36,1,28.0,1,0,0,0,1,0,0.0
37,0,23.0,0,1,0,0,0,0,1.0
38,0,15.0,0,0,0,0,0,1,1.0
39,0,20.0,0,0,0,0,0,0,1.0
40,0,30.0,0,0,0,0,1,0,1.0
41,1,17.0,0,0,0,1,1,0,0.0
42,0,45.0,1,0,0,1,0,0,1.0
43,0,55.0,0,0,0,1,1,0,0.0
44,1,4.0,0,0,0,0,1,0,0.0
45,1,21.0,0,0,1,0,1,0,0.0
46,0,21.0,0,1,0,1,0,0,1.0
47,1,19.0,0,1,0,0,1,0,0.0
48,0,35.0,0,0,0,0,0,0,1.0
49,0,56.0,0,0,0,1,0,0,1.0
50,0,28.82793046746535,0,0,0,1,0,0,1.0
51,1,25.0,0,0,0,1,0,0,1.0
52,1,2.0,1,0,0,1,0,0,0.0
53,1,38.0,1,0,0,1,1,0,0.0
54,1,27.0,1,0,0,1,0,0,1.0
55,0,36.0,0,0,1,0,1,0,0.0
56,0,22.0,0,0,0,1,0,0,1.0
57,0,62.0,0,0,0,1,0,0,1.0
58,1,15.0,0,1,0,1,1,0,0.0
59,1,33.0,0,1,0,1,1,0,1.0
60,0,62.0,0,0,0,1,0,0,1.0
61,1,0.0,0,0,1,0,1,0,0.0
62,1,18.0,0,0,0,1,0,0,1.0
63,0,21.0,0,0,0,0,0,0,1.0
64,0,28.82793046746535,0,1,0,1,0,0,1.0
65,1,42.0,0,0,0,1,0,0,1.0
66,0,19.0,0,0,0,1,0,0,1.0
67,0,17.0,0,0,0,1,0,0,1.0
68,0,14.0,0,0,0,1,0,0,1.0
69,0,37.0,0,1,1,0,0,0,1.0
70,1,42.0,1,0,0,1,0,0,1.0
71,1,27.0,0,1,0,1,0,0,1.0
72,1,28.0,0,1,0,1,0,0,1.0
